OBJECTNUMMER;Straatvaknummer;Loopruimte;Walkability_algemeen;Drukte_algemeen;Walkability_recreatief;Drukte_recreatief;Walkability_toeristisch;Drukte_toeristisch;Walkability_werkgerelateerd;Drukte_werkgerelateerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
9418;9418;"ruim";"goed";"rustig";"goed";"rustig";"goed";"rustig";"uitstekend";"zeer rustig";"LINESTRING(4.899641 52.360997,4.899652 52.360965,4.89973 52.360906,4.899913 52.360846)";"LINESTRING(52.360997 4.899641,52.360965 4.899652,52.360906 4.89973,52.360846 4.899913)";4.899777;52.3609215;
9419;9419;"ruim";"matig";"zeer druk";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"matig";"zeer druk";"LINESTRING(4.892544 52.38666,4.892533 52.386641)";"LINESTRING(52.38666 4.892544,52.386641 4.892533)";4.8925385;52.3866505;
9420;9420;"ruim";"goed";"rustig";"goed";"druk";"matig";"zeer druk";"goed";"druk";"LINESTRING(4.896007 52.366119,4.896052 52.366105)";"LINESTRING(52.366119 4.896007,52.366105 4.896052)";4.8960295;52.366112;
9421;9421;"ruim";"goed";"druk";"goed";"druk";"matig";"zeer druk";"matig";"zeer druk";"LINESTRING(4.888866 52.372266,4.888913 52.372466,4.889176 52.373126)";"LINESTRING(52.372266 4.888866,52.372466 4.888913,52.373126 4.889176)";4.889021;52.372696;
9422;9422;"zeer ruim";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"uitstekend";"rustig";"LINESTRING(4.923709 52.362013,4.923806 52.361818)";"LINESTRING(52.362013 4.923709,52.361818 4.923806)";4.9237575;52.3619155;
9423;9423;"ruim";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"goed";"druk";"LINESTRING(4.878934 52.357976,4.879129 52.357704,4.879226 52.35768,4.879352 52.357506,4.879453 52.357482)";"LINESTRING(52.357976 4.878934,52.357704 4.879129,52.35768 4.879226,52.357506 4.879352,52.357482 4.879453)";4.8791935;52.357729;
9424;9424;"krap";"matig";"druk";"matig";"druk";"slecht";"zeer druk";"slecht";"zeer druk";"LINESTRING(4.899502 52.374688,4.899512 52.374659,4.899472 52.374621)";"LINESTRING(52.374688 4.899502,52.374659 4.899512,52.374621 4.899472)";4.899492;52.3746545;
9425;9425;"krap";"slecht";"zeer druk";"matig";"druk";"matig";"druk";"slecht";"zeer druk";"LINESTRING(4.910645 52.36286,4.91057 52.362876,4.908055 52.362387,4.907894 52.362353,4.907885 52.362338)";"LINESTRING(52.36286 4.910645,52.362876 4.91057,52.362387 4.908055,52.362353 4.907894,52.362338 4.907885)";4.909265;52.362607;
9426;9426;"krap";"goed";"zeer rustig";"goed";"zeer rustig";"goed";"zeer rustig";"goed";"zeer rustig";"LINESTRING(4.883418 52.376336,4.883277 52.376305)";"LINESTRING(52.376336 4.883418,52.376305 4.883277)";4.8833475;52.3763205;
9427;9427;"zeer ruim";"goed";"druk";"goed";"zeer druk";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.874851 52.386708,4.874852 52.386671)";"LINESTRING(52.386708 4.874851,52.386671 4.874852)";4.8748515;52.3866895;
9428;9428;"zeer ruim";"uitstekend";"rustig";"uitstekend";"rustig";"goed";"druk";"goed";"druk";"LINESTRING(4.873409 52.339798,4.873457 52.3398,4.87351 52.339836)";"LINESTRING(52.339798 4.873409,52.3398 4.873457,52.339836 4.87351)";4.8734595;52.339817;
9429;9429;"ruim";"matig";"druk";"matig";"druk";"matig";"zeer druk";"matig";"druk";"LINESTRING(4.909839 52.35621,4.910507 52.356383)";"LINESTRING(52.35621 4.909839,52.356383 4.910507)";4.910173;52.3562965;
9430;9430;"ruim";"goed";"druk";"goed";"druk";"matig";"zeer druk";"goed";"rustig";"LINESTRING(4.908078 52.366664,4.908273 52.366592,4.908376 52.366572)";"LINESTRING(52.366664 4.908078,52.366592 4.908273,52.366572 4.908376)";4.908227;52.366618;
9431;9431;"zeer ruim";"uitstekend";"rustig";"goed";"druk";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.921309 52.360802,4.921398 52.360801,4.921481 52.360762)";"LINESTRING(52.360802 4.921309,52.360801 4.921398,52.360762 4.921481)";4.921395;52.360782;
9432;9432;"zeer krap";"matig";"rustig";"matig";"rustig";"slecht";"druk";"matig";"rustig";"LINESTRING(4.887657 52.374877,4.887575 52.374913)";"LINESTRING(52.374877 4.887657,52.374913 4.887575)";4.887616;52.374895;
